species_name,siteID,year,ba,trees,reg,dbh,growth,n_at_risk,n_died,mort,species
Pinus ponderosa,7,2,0.169814144238642,0.5,0,64.643,0.0173929600317891,2,0,0,2
Pinus contorta,7,2,0,0,0,,,0,0,,3
Abies concolor,7,2,0,0,0,,,0,0,,4
Abies grandis,7,2,2.27692552684814,8.75,29.1666666666667,59.0147019230769,0.060266840610016,29,1,0.0344827586206897,5
Tsuga heterophylla,7,2,0,0,0,,,0,0,,6
Tsuga mertensiana,7,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,7,2,0,0,0,,,0,0,,8
Alnus rubra,7,2,0.0248286664757774,0.25,0,35.56,0.0144927536231885,1,0,0,9
Abies amabilis,7,2,0,0,0,,,0,0,,10
other,7,2,0,0,0,,,0,0,,11
Pseudotsuga menziesii,8,1,0,0,0,,,0,0,,1
Pinus ponderosa,8,1,0,0,0,,,0,0,,2
Pinus contorta,8,1,0.0499930266564569,0.75,0,28.702,0.0620459548108126,3,0,0,3
Abies concolor,8,1,0,0,0,,,0,0,,4
Abies grandis,8,1,0,0,0,,,0,0,,5
Tsuga heterophylla,8,1,0,0,0,,,0,0,,6
Tsuga mertensiana,8,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,8,1,0,0,0,,,0,0,,8
Alnus rubra,8,1,0,0,0,,,0,0,,9
Abies amabilis,8,1,0,0,0,,,0,0,,10
other,8,1,0,0,0,,,1,1,1,11
Pseudotsuga menziesii,8,2,0,0,0,,,0,0,,1
Pinus ponderosa,8,2,0,0,0,,,0,0,,2
Pinus contorta,8,2,0.0556478821231849,0.75,0,30.3953333333333,0.0641788731302798,3,0,0,3
Abies concolor,8,2,0,0,0,,,0,0,,4
Abies grandis,8,2,0,0,0,,,0,0,,5
Tsuga heterophylla,8,2,0,0,0,,,0,0,,6
Tsuga mertensiana,8,2,0,0,0,,,0,0,,7
Lithocarpus densiflorus,8,2,0,0,0,,,0,0,,8
Alnus rubra,8,2,0,0,0,,,0,0,,9
Abies amabilis,8,2,0,0,0,,,0,0,,10
other,8,2,0,0,0,,,0,0,,11
Pseudotsuga menziesii,9,1,0.193901751026239,1.25,0,48.26,0.0759524648124488,5,0,0,1
Pinus ponderosa,9,1,0.0836688057172766,0.25,0,65.278,0.0489795918367348,1,0,0,2
Pinus contorta,9,1,0.0363575283939432,1,0,21.1666666666667,0.0666844812095301,5,2,0.4,3
Abies concolor,9,1,0,0,0,,,0,0,,4
Abies grandis,9,1,0.917686514475198,5.5,4.16666666666667,41.6673392857143,0.0993811187523499,21,0,0,5
Tsuga heterophylla,9,1,0,0,0,,,0,0,,6
Tsuga mertensiana,9,1,0,0,0,,,0,0,,7
Lithocarpus densiflorus,9,1,0,0,0,,,0,0,,8
Alnus rubra,9,1,0,0,0,,,0,0,,9
Abies amabilis,9,1,0,0,0,,,0,0,,10
other,9,1,0.0247640612721925,0.5,0,24.511,0.151841868823001,2,0,0,11
Pseudotsuga menziesii,9,2,0.21296281962119,1.25,0,50.3766666666667,0.0557020560859627,5,0,0,1
