"Ekl","Alter","N","Hg","H100","G","Dg","Dw","V","N_aus","G_aus","Dg_aus","V_aus","iV","GWL","dGZ","Art","dDg_dt","thin_N_frac","thin_G_frac","Dg_aus_rel"
-1,45,262,34.6,36.9,49.7,46,51.9,692,10,6.5,63.3,89,34.4,1075,23.9,"Douglasie",0.58,0.0367647058823529,0.115658362989324,1.37608695652174
-1,50,241,36.9,39.5,52.5,49.3,57.9,768,23,6.3,57.7,93,33.8,1245,24.9,"Douglasie",0.66,0.0871212121212121,0.107142857142857,1.17038539553753
-1,55,210,39.1,41.7,54.6,52.9,63.7,835,28,6.2,51.7,96,32.8,1409,25.5,"Douglasie",0.72,0.117647058823529,0.101973684210526,0.977315689981097
-1,60,181,41,43.7,56.7,57.1,69.2,897,29,6,50.7,97,31.9,1567,26.1,"Douglasie",0.84,0.138095238095238,0.0956937799043062,0.887915936952715
-1,65,155,42.8,45.5,58.2,61.5,74.6,955,26,5.7,53.5,98,30.9,1723,26.4,"Douglasie",0.88,0.143646408839779,0.0892018779342723,0.869918699186992
-1,70,135,44.6,47.2,59.8,65.8,79.9,1006,21,5.5,57.8,98,29.8,1872,26.7,"Douglasie",0.859999999999999,0.134615384615385,0.0842266462480858,0.878419452887538
-1,75,118,46.1,48.7,61,70,85,1053,16,5.3,62.5,96,28.9,2016,26.8,"Douglasie",0.84,0.119402985074627,0.0799396681749623,0.892857142857143
-1,80,106,47.5,50.2,61.8,74,90,1098,12,5.1,67,95,27.7,2154,27,"Douglasie",0.8,0.101694915254237,0.0762331838565022,0.905405405405405
-1,85,96,48.8,51.5,62.7,77.9,94.9,1137,10,5,71.4,94,26.8,2289,26.9,"Douglasie",0.780000000000001,0.0943396226415094,0.0738552437223043,0.916559691912709
-1,90,85,50,52.7,63.3,81.7,99.4,1175,8,4.8,74.3,93,25.9,2419,26.8,"Douglasie",0.76,0.0860215053763441,0.0704845814977974,0.909424724602203
-1,95,78,51.1,53.9,64,86.1,103.9,1211,9,4.5,74.5,90,25.1,2545,26.8,"Douglasie",0.879999999999998,0.103448275862069,0.0656934306569343,0.86527293844367
0,15,1815,9.4,11,16.1,10.6,11.9,55,0,0,0,0,12.1,67,4.5,"Douglasie",NA,0,0,0
0,20,1069,14.2,15.9,22.8,16.5,18,143,746,2.3,6.3,15,20.8,172,8.6,"Douglasie",1.18,0.411019283746556,0.0916334661354582,0.381818181818182
0,25,674,18.4,20.3,29,23.4,24,242,395,3.9,11.2,32,26.1,302,12.1,"Douglasie",1.38,0.369504209541628,0.11854103343465,0.478632478632479
0,30,517,22.2,24.2,34.3,29,29.9,338,156,5,20.3,48,28.9,446,14.9,"Douglasie",1.12,0.231797919762259,0.127226463104326,0.7
0,35,442,25.4,27.5,38.7,33.4,35.7,427,75,5.7,31,61,30.2,597,17.1,"Douglasie",0.88,0.145067698259188,0.128378378378378,0.92814371257485
0,40,401,28.3,30.5,42.5,36.7,41.3,510,41,6,43.2,71,30.6,751,18.8,"Douglasie",0.660000000000001,0.0927601809954751,0.123711340206186,1.17711171662125
0,45,371,30.9,33.1,45.6,39.6,46.8,585,30,6.1,50.7,77,30.5,903,20.1,"Douglasie",0.58,0.0748129675810474,0.117988394584139,1.28030303030303
0,50,343,33.1,35.5,48.3,42.4,52.2,654,29,6,51.7,81,30.1,1054,21.1,"Douglasie",0.559999999999999,0.0779569892473118,0.110497237569061,1.21933962264151
0,55,313,35.2,37.6,50.5,45.3,57.5,717,29,5.9,50.4,84,29.4,1201,21.8,"Douglasie",0.58,0.0847953216374269,0.104609929078014,1.11258278145695
0,60,284,37,39.5,52.5,48.5,62.6,775,29,5.7,49.9,85,28.7,1344,22.4,"Douglasie",0.640000000000001,0.0926517571884984,0.0979381443298969,1.02886597938144
0,65,257,38.7,41.2,54.1,51.8,67.6,829,27,5.5,51.1,86,27.9,1484,22.8,"Douglasie",0.66,0.0950704225352113,0.0922818791946309,0.986486486486487
0,70,233,40.3,42.8,55.6,55.1,72.5,878,24,5.3,53.3,86,27,1619,23.1,"Douglasie",0.660000000000001,0.0933852140077821,0.0870279146141215,0.967332123411978
0,75,212,41.7,44.2,56.8,58.4,77.3,923,21,5.1,55.9,85,26.2,1750,23.3,"Douglasie",0.66,0.0901287553648069,0.0823909531502423,0.957191780821918
0,80,194,43,45.6,57.7,61.6,82,966,18,4.9,58.7,84,25.3,1876,23.5,"Douglasie",0.640000000000001,0.0849056603773585,0.0782747603833866,0.952922077922078
0,85,178,44.2,46.8,58.5,64.7,86.6,1005,16,4.8,61.7,83,24.5,1999,23.5,"Douglasie",0.62,0.0824742268041237,0.0758293838862559,0.953632148377125
0,90,163,45.3,47.9,59.1,67.8,91,1042,14,4.6,63.8,82,23.7,2118,23.5,"Douglasie",0.619999999999999,0.0790960451977401,0.0722135007849293,0.941002949852507
0,95,150,46.3,49,59.8,71.3,95.4,1077,14,4.4,64.1,80,23,2233,23.5,"Douglasie",0.7,0.0853658536585366,0.0685358255451713,0.899018232819074
1,15,2539,6.8,8.3,12,7.7,10.6,31,0,0,0,0,7.2,36,2.4,"Douglasie",NA,0,0,0
1,20,1614,11.2,12.9,18.6,12.1,16.1,98,925,1.8,4.9,10,15.5,114,5.7,"Douglasie",0.88,0.364316660102403,0.088235294117647,0.40495867768595
1,25,1073,15.3,17,24.8,17.2,21.4,178,541,3.4,9,24,20.9,218,8.7,"Douglasie",1.02,0.335192069392813,0.120567375886525,0.523255813953488
1,30,768,18.8,20.7,30.1,22.3,26.6,259,305,4.6,13.9,39,24,338,11.3,"Douglasie",1.02,0.284249767008388,0.132564841498559,0.623318385650224
1,35,615,22,23.9,34.6,26.8,31.8,337,154,5.3,20.9,51,25.6,467,13.3,"Douglasie",0.9,0.200260078023407,0.132832080200501,0.779850746268657
