siteID,year,ba,dbh,trees,growth,mort,reg,species,species_name
142,2,0,,0,,,0,1,Abies amabilis
143,1,0,,0,,,0,1,Abies amabilis
143,2,0,,0,,,0,1,Abies amabilis
144,1,0,,0,,,0,1,Abies amabilis
144,2,0,,0,,,0,1,Abies amabilis
145,1,0,,0,,,0,1,Abies amabilis
145,2,0,,0,,,0,1,Abies amabilis
146,1,0,,0,,,0,1,Abies amabilis
146,2,0,,0,,,0,1,Abies amabilis
147,1,0,,0,,,0,1,Abies amabilis
147,2,0,,0,,,0,1,Abies amabilis
148,1,0,,0,,,0,1,Abies amabilis
148,2,0,,0,,,0,1,Abies amabilis
149,1,0,,0,,,0,1,Abies amabilis
149,2,0,,0,,,0,1,Abies amabilis
150,1,0,,0,,,0,1,Abies amabilis
150,2,0,,0,,,0,1,Abies amabilis
151,1,0,,0,,,0,1,Abies amabilis
151,2,0,,0,,,0,1,Abies amabilis
152,1,0,,0,,,0,1,Abies amabilis
152,2,0,,0,,,0,1,Abies amabilis
153,1,0,,0,,,0,1,Abies amabilis
153,2,0.00369389752262076,13.716,0.25,,,4.16666666666667,1,Abies amabilis
154,1,0,,0,,,0,1,Abies amabilis
154,2,0,,0,,,0,1,Abies amabilis
155,1,0.104162589709375,20.1591333333333,3.25,0.124048675427546,0,4.16666666666667,1,Abies amabilis
155,2,0.203800281630409,18.8903428571429,6.75,0.126201013908431,0,16.6666666666667,1,Abies amabilis
156,1,0,,0,,,0,1,Abies amabilis
156,2,0,,0,,,0,1,Abies amabilis
157,1,0,,0,,,0,1,Abies amabilis
157,2,0,,0,,,0,1,Abies amabilis
158,1,0,,0,,,0,1,Abies amabilis
158,2,0,,0,,,0,1,Abies amabilis
159,1,0,,0,,,0,1,Abies amabilis
159,2,0,,0,,,0,1,Abies amabilis
160,1,0,,0,,,0,1,Abies amabilis
160,2,0.00861402714465746,14.732,0.5,,,8.33333333333333,1,Abies amabilis
161,1,0,,0,,,0,1,Abies amabilis
161,2,0,,0,,,0,1,Abies amabilis
162,1,0,,0,,,0,1,Abies amabilis
162,2,0,,0,,,0,1,Abies amabilis
163,1,0,,0,,,0,1,Abies amabilis
163,2,0,,0,,,0,1,Abies amabilis
164,1,0,,0,,,0,1,Abies amabilis
164,2,0,,0,,,0,1,Abies amabilis
165,1,0,,0,,,0,1,Abies amabilis
165,2,0,,0,,,0,1,Abies amabilis
166,1,0,,0,,,0,1,Abies amabilis
166,2,0,,0,,,0,1,Abies amabilis
167,1,0,,0,,,0,1,Abies amabilis
167,2,0,,0,,,0,1,Abies amabilis
168,1,0,,0,,,0,1,Abies amabilis
168,2,0,,0,,,0,1,Abies amabilis
169,1,0.0750560453413169,15.98295,3.25,0.0589245335671051,,20.8333333333333,1,Abies amabilis
169,2,0,,0,,,0,1,Abies amabilis
170,1,0,,0,,,0,1,Abies amabilis
170,2,0,,0,,,0,1,Abies amabilis
171,1,0,,0,,,0,1,Abies amabilis
171,2,0,,0,,,0,1,Abies amabilis
172,1,0,,0,,,0,1,Abies amabilis
172,2,0,,0,,,0,1,Abies amabilis
173,1,0,,0,,,0,1,Abies amabilis
173,2,0,,0,,,0,1,Abies amabilis
174,1,0,,0,,,0,1,Abies amabilis
174,2,0,,0,,,0,1,Abies amabilis
1,1,0,,0,,,0,1,Abies amabilis
1,2,0,,0,,,0,1,Abies amabilis
2,1,0,,0,,,0,1,Abies amabilis
2,2,0,,0,,,0,1,Abies amabilis
3,1,0,,0,,,0,1,Abies amabilis
3,2,0,,0,,,0,1,Abies amabilis
4,1,0,,0,,,0,1,Abies amabilis
4,2,0,,0,,,0,1,Abies amabilis
5,1,0,,0,,,0,1,Abies amabilis
5,2,0,,0,,,0,1,Abies amabilis
6,1,0,,0,,,0,1,Abies amabilis
6,2,0,,0,,,0,1,Abies amabilis
7,1,0,,0,,,0,1,Abies amabilis
7,2,0,,0,,,0,1,Abies amabilis
8,1,0,,0,,,0,1,Abies amabilis
8,2,0,,0,,,0,1,Abies amabilis
9,1,0,,0,,,0,1,Abies amabilis
9,2,0,,0,,,0,1,Abies amabilis
10,1,0,,0,,,0,1,Abies amabilis
10,2,0,,0,,,0,1,Abies amabilis
11,1,0,,0,,,0,1,Abies amabilis
11,2,0,,0,,,0,1,Abies amabilis
12,1,0,,0,,,0,1,Abies amabilis
12,2,0,,0,,,0,1,Abies amabilis
13,1,0,,0,,,0,1,Abies amabilis
13,2,0,,0,,,0,1,Abies amabilis
14,1,0,,0,,,0,1,Abies amabilis
14,2,0,,0,,,0,1,Abies amabilis
15,1,0,,0,,,0,1,Abies amabilis
15,2,0,,0,,,0,1,Abies amabilis
16,1,0,,0,,,0,1,Abies amabilis
16,2,0,,0,,,0,1,Abies amabilis
17,1,0,,0,,,0,1,Abies amabilis
17,2,0,,0,,,0,1,Abies amabilis
18,1,0,,0,,,0,1,Abies amabilis
18,2,0,,0,,,0,1,Abies amabilis
19,1,0,,0,,,0,1,Abies amabilis
19,2,0,,0,,,0,1,Abies amabilis
20,1,0,,0,,,0,1,Abies amabilis
20,2,0,,0,,,0,1,Abies amabilis
21,1,0,,0,,,0,1,Abies amabilis
21,2,0,,0,,,0,1,Abies amabilis
22,1,0,,0,,,0,1,Abies amabilis
22,2,0,,0,,,0,1,Abies amabilis
23,1,0,,0,,,0,1,Abies amabilis
23,2,0,,0,,,0,1,Abies amabilis
24,1,0,,0,,,0,1,Abies amabilis
24,2,0,,0,,,0,1,Abies amabilis
25,1,0,,0,,,0,1,Abies amabilis
25,2,0,,0,,,0,1,Abies amabilis
26,1,0,,0,,,0,1,Abies amabilis
26,2,0,,0,,,0,1,Abies amabilis
27,1,0,,0,,,0,1,Abies amabilis
27,2,0,,0,,,0,1,Abies amabilis
28,1,0,,0,,,0,1,Abies amabilis
28,2,0,,0,,,0,1,Abies amabilis
175,1,0,,0,,,0,1,Abies amabilis
175,2,0,,0,,,0,1,Abies amabilis
176,1,0,,0,,,0,1,Abies amabilis
176,2,0,,0,,,0,1,Abies amabilis
177,1,0,,0,,,0,1,Abies amabilis
177,2,0,,0,,,0,1,Abies amabilis
178,1,0,,0,,,0,1,Abies amabilis
178,2,0,,0,,,0,1,Abies amabilis
179,1,0,,0,,,0,1,Abies amabilis
179,2,0,,0,,,0,1,Abies amabilis
180,1,0,,0,,,0,1,Abies amabilis
180,2,0,,0,,,0,1,Abies amabilis
181,1,0,,0,,,0,1,Abies amabilis
181,2,0,,0,,,0,1,Abies amabilis
182,1,0,,0,,,0,1,Abies amabilis
182,2,0,,0,,,0,1,Abies amabilis
183,1,0,,0,,,0,1,Abies amabilis
183,2,0,,0,,,0,1,Abies amabilis
184,1,0,,0,,,0,1,Abies amabilis
